id,Date,Max Temperature,Min Temperature,lon,lat
403,1980-2-7,31.41,15.977,32.077942,15.2491215
404,1980-2-8,34.544,17.102,32.077942,15.2491215
405,1980-2-9,33.434,18.678,32.077942,15.2491215
406,1980-2-10,31.998,16.248,32.077942,15.2491215
407,1980-2-11,28.85,16.311,32.077942,15.2491215
408,1980-2-12,31.171,13.477,32.077942,15.2491215
409,1980-2-13,33.685,14.652,32.077942,15.2491215
410,1980-2-14,34.018,16.409,32.077942,15.2491215
411,1980-2-15,33.996,18.127,32.077942,15.2491215
412,1980-2-16,35.747,17.937,32.077942,15.2491215
413,1980-2-17,35.439,18.263,32.077942,15.2491215
414,1980-2-18,34.957,17.681,32.077942,15.2491215
415,1980-2-19,35.542,18.698,32.077942,15.2491215
416,1980-2-20,35.836,19.52,32.077942,15.2491215
417,1980-2-21,35.68,19.654,32.077942,15.2491215
418,1980-2-22,37.518,19.749,32.077942,15.2491215
419,1980-2-23,38.064,20.802,32.077942,15.2491215
420,1980-2-24,37.393,20.836,32.077942,15.2491215
421,1980-2-25,34.847,18.86,32.077942,15.2491215
422,1980-2-26,36.073,17.027,32.077942,15.2491215
423,1980-2-27,37.335,19.415,32.077942,15.2491215
424,1980-2-28,39.603,24.783,32.077942,15.2491215
425,1980-2-29,42.959,22.413,32.077942,15.2491215
426,1980-3-1,33.53,21.488,32.077942,15.2491215
427,1980-3-2,28.595,16.913,32.077942,15.2491215
428,1980-3-3,28.894,14.279,32.077942,15.2491215
429,1980-3-4,30.987,13.811,32.077942,15.2491215
430,1980-3-5,32.754,14.489,32.077942,15.2491215
431,1980-3-6,33.616,15.86,32.077942,15.2491215
432,1980-3-7,36.985,17.438,32.077942,15.2491215
433,1980-3-8,38.727,19.46,32.077942,15.2491215
434,1980-3-9,39.072,21.424,32.077942,15.2491215
435,1980-3-10,39.429,22.708,32.077942,15.2491215
436,1980-3-11,39.245,22.031,32.077942,15.2491215
437,1980-3-12,39.713,21.828,32.077942,15.2491215
438,1980-3-13,40.802,21.979,32.077942,15.2491215
439,1980-3-14,42.096,22.406,32.077942,15.2491215
440,1980-3-15,43.75,23.35,32.077942,15.2491215
441,1980-3-16,44.905,26.881,32.077942,15.2491215
442,1980-3-17,42.551,24.898,32.077942,15.2491215
443,1980-3-18,42.312,26.514,32.077942,15.2491215
444,1980-3-19,40.51,25.353,32.077942,15.2491215
445,1980-3-20,39.451,22.34,32.077942,15.2491215
446,1980-3-21,41.119,22.945,32.077942,15.2491215
447,1980-3-22,43.038,24.286,32.077942,15.2491215
448,1980-3-23,43.046,26.085,32.077942,15.2491215
449,1980-3-24,44.05,25.798,32.077942,15.2491215
450,1980-3-25,43.946,27.832,32.077942,15.2491215
451,1980-3-26,45.641,26.492,32.077942,15.2491215
452,1980-3-27,43.295,25.041,32.077942,15.2491215
453,1980-3-28,38.568,24.701,32.077942,15.2491215
454,1980-3-29,38.103,24.839,32.077942,15.2491215
455,1980-3-30,38.835,24.101,32.077942,15.2491215
456,1980-3-31,41.515,23.092,32.077942,15.2491215
457,1980-4-1,45.115,26.365,32.077942,15.2491215
458,1980-4-2,42.609,26.198,32.077942,15.2491215
459,1980-4-3,39.959,26.122,32.077942,15.2491215
460,1980-4-4,39.457,23.842,32.077942,15.2491215
461,1980-4-5,39.132,22.433,32.077942,15.2491215
462,1980-4-6,40.089,22.4,32.077942,15.2491215
463,1980-4-7,43.168,20.853,32.077942,15.2491215
464,1980-4-8,43.17,22.367,32.077942,15.2491215
465,1980-4-9,46.151,23.246,32.077942,15.2491215
466,1980-4-10,44.452,24.575,32.077942,15.2491215
467,1980-4-11,44.31,27.175,32.077942,15.2491215
468,1980-4-12,43.142,27.596,32.077942,15.2491215
469,1980-4-13,42.043,26.474,32.077942,15.2491215
470,1980-4-14,40.329,26.128,32.077942,15.2491215
471,1980-4-15,38.714,24.195,32.077942,15.2491215
472,1980-4-16,37.793,22.507,32.077942,15.2491215
473,1980-4-17,37.167,20.414,32.077942,15.2491215
474,1980-4-18,38.213,21.222,32.077942,15.2491215
475,1980-4-19,39.821,22.536,32.077942,15.2491215
476,1980-4-20,44.122,23.034,32.077942,15.2491215
477,1980-4-21,43.414,25.814,32.077942,15.2491215
478,1980-4-22,43.399,28.505,32.077942,15.2491215
479,1980-4-23,44.145,27.565,32.077942,15.2491215
480,1980-4-24,43.591,27.114,32.077942,15.2491215
481,1980-4-25,45.438,27.669,32.077942,15.2491215
482,1980-4-26,43.461,26.823,32.077942,15.2491215
483,1980-4-27,44.362,27.075,32.077942,15.2491215
484,1980-4-28,46.802,26.791,32.077942,15.2491215
485,1980-4-29,45.484,27.41,32.077942,15.2491215
486,1980-4-30,44.082,27.36,32.077942,15.2491215
487,1980-5-1,44.862,27.366,32.077942,15.2491215
488,1980-5-2,46.907,26.155,32.077942,15.2491215
489,1980-5-3,46.253,26.553,32.077942,15.2491215
490,1980-5-4,47.131,24.895,32.077942,15.2491215
491,1980-5-5,43.576,28.364,32.077942,15.2491215
492,1980-5-6,46.433,28.071,32.077942,15.2491215
493,1980-5-7,45.558,26.539,32.077942,15.2491215
494,1980-5-8,47.203,27.243,32.077942,15.2491215
